200409,更新情報無し,,
禁止,効果/モンスター,混沌帝龍　－終焉の使者－,Chaos Emperor Dragon - Envoy of the End
禁止,効果/モンスター,クリッター,Sangan
禁止,効果/モンスター,黒き森のウィッチ,Witch of the Black Forest
禁止,効果/モンスター,八汰烏,Yata-Garasu
禁止,魔法,いたずら好きな双子悪魔,Delinquent Duo
禁止,魔法,サンダー・ボルト,Raigeki
禁止,魔法,死者蘇生,Monster Reborn
禁止,魔法,団結の力,United We Stand
禁止,魔法,天使の施し,Graceful Charity
禁止,魔法,ハーピィの羽根帚,Harpie's Feather Duster
禁止,魔法,ブラック・ホール,Dark Hole
禁止,罠,王宮の勅命,Imperial Order
禁止,罠,聖なるバリア -ミラーフォース-,Mirror Force
制限,効果/モンスター,お注射天使リリー,Injection Fairy Lily
制限,効果/モンスター,ヴァンパイア・ロード,Vampire Lord
制限,効果/モンスター,カオス・ソルジャー　－開闢の使者－,Black Luster Soldier - Envoy of the Beginning
制限,効果/モンスター,キラー・スネーク,Sinister Serpent
制限,効果/モンスター,混沌の黒魔術師,Dark Magician of Chaos
制限,効果/モンスター,サイバーポッド,Cyber Jar
制限,効果/モンスター,神殿を守る者,Protector of the Sanctuary
制限,効果/モンスター,人造人間-サイコ・ショッカー,Jinzo
制限,効果/モンスター,ドル・ドラ,Twin-Headed Behemoth
制限,効果/モンスター,同族感染ウィルス,Tribe-Infecting Virus
制限,効果/モンスター,ならず者傭兵部隊,Exiled Force
制限,効果/モンスター,ファイバーポッド,Fiber Jar
制限,効果/モンスター,封印されしエクゾディア,Exodia the Forbidden One
制限,効果/モンスター,魔鏡導士リフレクト・バウンダー,Reflect Bounder
制限,効果/モンスター,魔導サイエンティスト,Magical Scientist
制限,効果/モンスター,魔導戦士　ブレイカー,Breaker the Magical Warrior
制限,効果/モンスター,メタモルポット,Morphing Jar
制限,モンスター,封印されし者の右足,Right Leg of the Forbidden One
制限,モンスター,封印されし者の右腕,Right Arm of the Forbidden One
制限,モンスター,封印されし者の左足,Left Leg of the Forbidden One
制限,モンスター,封印されし者の左腕,Left Arm of the Forbidden One
制限,魔法,悪夢の蜃気楼,Mirage of Nightmare
制限,魔法,押収,Confiscation
制限,魔法,大嵐,Heavy Storm
制限,魔法,強引な番兵,The Forceful Sentry
制限,魔法,強奪,Snatch Steal
制限,魔法,強欲な壺,Pot of Greed
制限,魔法,苦渋の選択,Painful Choice
制限,魔法,心変わり,Change of Heart
制限,魔法,サイクロン,Mystical Space Typhoon
制限,魔法,蝶の短剣-エルマ,Butterfly Dagger - Elma
制限,魔法,手札抹殺,Card Destruction
制限,魔法,成金ゴブリン,Upstart Goblin
制限,魔法,早すぎた埋葬,Premature Burial
制限,魔法,光の護封剣,SWORDS OF REVEALING LIGHT
制限,魔法,魔導師の力,Mage Power
制限,罠,激流葬,Torrential Tribute
制限,罠,現世と冥界の逆転,－
制限,罠,死のデッキ破壊ウイルス,－
制限,罠,第六感,－
制限,罠,停戦協定,Ceasefire
制限,罠,破壊輪,Ring of Destruction
制限,罠,魔法の筒,Magic Cylinder
制限,罠,無謀な欲張り,Reckless Greed
制限,罠,リビングデッドの呼び声,Call Of The Haunted
準制限,効果/モンスター,暗黒のマンティコア,Manticore of Darkness
準制限,効果/モンスター,カオスポッド,Morphing Jar #2
準制限,効果/モンスター,切り込み隊長,Marauding Captain
準制限,効果/モンスター,処刑人-マキュラ,Makyura the Destructor
準制限,魔法,強制転移,Creature Swap
準制限,魔法,増援,Reinforcement of the Army
準制限,魔法,抹殺の使徒,Nobleman of Crossout
準制限,罠,ラストバトル！,Last Turn
