200909,更新情報有り,,,
禁止,効果/モンスター,ヴィクトリー・ドラゴン,VICTORY DRAGON,
禁止,効果/モンスター,混沌帝龍　－終焉の使者－,CHAOS EMPEROR DRAGON - ENVOY OF THE END,
禁止,効果/モンスター,カオス・ソルジャー　－開闢の使者－,BLACK LUSTER SOLDIER - ENVOY OF THE BEGINNING,
禁止,効果/モンスター,キラー・スネーク,SINISTER SERPENT,
禁止,効果/モンスター,黒き森のウィッチ,WITCH OF THE BLACK FOREST,
禁止,効果/モンスター,混沌の黒魔術師,DARK MAGICIAN OF CHAOS,
禁止,効果/モンスター,サイバーポッド,CYBER JAR,
禁止,融合/モンスター,サウザンド・アイズ・サクリファイス,THOUSAND-EYES RESTRICT,
禁止,効果/モンスター,処刑人-マキュラ,MAKYURA THE DESTRUCTOR,
禁止,効果/モンスター,聖なる魔術師,MAGICIAN OF FAITH,
禁止,シンクロ/モンスター,ダーク・ダイブ・ボンバー,DARK STRIKE FIGHTER,新規・禁止
禁止,効果/モンスター,月読命,TSUKUYOMI,
禁止,効果/モンスター,D-HERO ディスクガイ,DESTINY HERO - DISK COMMANDER,
禁止,効果/モンスター,デビル・フランケン,CYBER-STEIN,
禁止,効果/モンスター,同族感染ウィルス,TRIBE-INFECTING VIRUS,
禁止,効果/モンスター,ファイバーポッド,FIBER JAR,
禁止,効果/モンスター,魔導サイエンティスト,MAGICAL SCIENTIST,
禁止,効果/モンスター,八汰烏,YATA-GARASU,
禁止,魔法,悪夢の蜃気楼,MIRAGE OF NIGHTMARE,
禁止,魔法,いたずら好きな双子悪魔,DELINQUENT DUO,
禁止,魔法,王家の神殿,－,
禁止,魔法,押収,CONFISCATION,
禁止,魔法,苦渋の選択,PAINFUL CHOICE,
禁止,魔法,強引な番兵,THE FORCEFUL SENTRY,
禁止,魔法,強奪,SNATCH STEAL,
禁止,魔法,強欲な壺,POT OF GREED,
禁止,魔法,心変わり,CHANGE OF HEART,
禁止,魔法,サンダー・ボルト,RAIGEKI,
禁止,魔法,死者蘇生,MONSTER REBORN,制限⇒禁止
禁止,魔法,次元融合,DIMENSION FUSION,
禁止,魔法,生還の宝札,CARD OF SAFE RETURN,制限⇒禁止
禁止,魔法,蝶の短剣－エルマ,BUTTERFLY DAGGER - ELMA,
禁止,魔法,天使の施し,GRACEFUL CHARITY,
禁止,魔法,ハーピィの羽根帚,HARPIE'S FEATHER DUSTER,
禁止,魔法,早すぎた埋葬,PREMATURE BURIAL,
禁止,魔法,ブラック・ホール,DARK HOLE,
