201710,カード種別,カード名,カード名,
禁止,効果/モンスター,アマゾネスの射手,AMAZONESS ARCHER,新規・禁止
禁止,効果/モンスター,イレカエル,SUBSTITOAD,
禁止,効果/モンスター,ヴィクトリー・ドラゴン,VICTORY DRAGON,
禁止,ｼﾝｸﾛ/モンスター,エンシェント・フェアリー・ドラゴン,ANCIENT FAIRY DRAGON,
禁止,効果/モンスター,焔征竜－ブラスター,BLASTER，DRAGON RULER OF INFERNOS,
禁止,通常/モンスター,Emヒグルミ,PERFORMAGE PLUSHFIRE,
禁止,通常/モンスター,EMモンキーボード,PERFORMAPAL MONKEYBOARD,
禁止,効果/モンスター,巌征竜－レドックス,REDOX，DRAGON RULER OF BOULDERS,
禁止,効果/モンスター,キャノン・ソルジャー,CANNON SOLDIER,
禁止,融合/モンスター,旧神ノーデン,ELDER ENTITY NORDEN,
禁止,効果/モンスター,サイバーポッド,CYBER JAR,
禁止,効果/モンスター,The tyrant NEPTUNE,THE TYRANT NEPTUNE,
禁止,リンク/モンスター,サモン・ソーサレス,SUMMON SORCERESS,新規・禁止
禁止,ｴｸｼｰｽﾞ/ﾓﾝｽﾀｰ,十二獣ドランシア,ZOODIAC DRIDENT,
禁止,ｴｸｼｰｽﾞ/ﾓﾝｽﾀｰ,十二獣ブルホーン,ZOODIAC BROADBULL,
禁止,効果/モンスター,処刑人－マキュラ,MAKYURA THE DESTRUCTOR,
禁止,効果/モンスター,真竜剣皇マスターP,MASTER PEACE，THE TRUE DRACOSLAYING KING,
禁止,効果/モンスター,ゼンマイハンター,WIND - UP HUNTER,
禁止,ｴｸｼｰｽﾞ/ﾓﾝｽﾀｰ,星守の騎士 プトレマイオス,TELLARKNIGHT PTOLEMAEUS,
禁止,効果/モンスター,トゥーン・キャノン・ソルジャー,TOON CANNON SOLDIER,
禁止,ｴｸｼｰｽﾞ/ﾓﾝｽﾀｰ,No.16 色の支配者ショック・ルーラー,NUMBER 16: SHOCK MASTER,
禁止,効果/モンスター,瀑征竜－タイダル,TIDAL，DRAGON RULER OF WATERFALLS,
禁止,効果/モンスター,ファイバーポッド,FIBER JAR,
禁止,効果/モンスター,フィッシュボーグ－ガンナー,FISHBORG BLASTER,
禁止,効果/モンスター,フェニキシアン・クラスター・アマリリス,PHOENIXIAN CLUSTER AMARYLLIS,
