201901,カード種別,カード名,カード名,,
禁止,効果/モンスター,アマゾネスの射手,AMAZONESS ARCHER,,
禁止,シンクロ/モンスター,エンシェント・フェアリー・ドラゴン,ANCIENT FAIRY DRAGON,,
禁止,効果/モンスター,BF－朧影のゴウフウ,BLACKWING - GOFU THE VAGUE SHADOW,,ぶらっくふぇざーおぼろかげ
禁止,効果/モンスター,BF－隠れ蓑のスチーム,BLACKWING - STEAM THE CLOAK,制限⇒禁止,ぶらっくふぇざーかくれみの
禁止,効果/モンスター,焔征竜－ブラスター,BLASTER，DRAGON RULER OF INFERNOS,,えんせいりゅうぶらすたー
禁止,効果/モンスター,キャノン・ソルジャー,CANNON SOLDIER,,きやのんそるじゃー
禁止,効果/モンスター,メガキャノン・ソルジャー,CANNON SOLDIER MK-2,,
禁止,効果/モンスター,サイバーポッド,CYBER JAR,,さいばーぽっど
禁止,効果/モンスター,ダンディライオン,DANDYLION,制限⇒禁止,たんていらいおん
禁止,融合/モンスター,旧神ノーデン,ELDER ENTITY NORDEN,,きゅうしんのーでん
禁止,効果/モンスター,ファイバーポッド,FIBER JAR,,ふぁいやーぽっど
禁止,リンク/モンスター,ファイアウォール・ドラゴン,FIREWALL DRAGON,制限⇒禁止,ふあいあうおーる
禁止,効果/モンスター,フィッシュボーグ－ガンナー,FISHBORG BLASTER,,ふぃっしゅぼーぐがんなー
禁止,効果/モンスター,グローアップ･バルブ,GLOW-UP BULB,新規・禁止,くろおあっふはふる
禁止,リンク/モンスター,トロイメア・ゴブリン,KNIGHTMARE GOBLIN,制限⇒禁止,とろまえいあこふりん
禁止,エクシーズ/モンスター,ラヴァルバル・チェイン,LAVALVAL CHAIN,,
禁止,効果/モンスター,レベル・スティーラー,LEVEL EATER,,
禁止,エクシーズ/モンスター,M.X－セイバー インヴォーカー,M-X-SABER INVOKER,新規・禁止,みつしんくえつくすせいはー
禁止,効果/モンスター,魔導サイエンティスト,MAGICAL SCIENTIST,,まどう
禁止,P効果,マジェスペクター・ユニコーン,MAJESPECTER UNICORN - KIRIN,,まじぇすぺ
禁止,効果/モンスター,処刑人－マキュラ,MAKYURA THE DESTRUCTOR,,しよけいにん
禁止,効果/モンスター,真竜剣皇マスターP,MASTER PEACE，THE TRUE DRACOSLAYING KING,,しんりゅうけんおうますたーぴーす
禁止,効果/モンスター,メンタルマスター,MIND MASTER,,
禁止,エクシーズ/モンスター,No.16 色の支配者ショック・ルーラー,NUMBER 16: SHOCK MASTER,,なんはあすしゆうろく
禁止,エクシーズ/モンスター,No.95 ギャラクシーアイズ・ダークマター・ドラゴン,NUMBER 95: GALAXY-EYES DARK MATTER DRAGON,新規・禁止,なんはあすきゆうしゆうこ
禁止,P効果,Emヒグルミ,PERFORMAGE PLUSHFIRE,,えんためいじひ
禁止,P効果,EMモンキーボード,PERFORMAPAL MONKEYBOARD,,えんためいどもんきーぼーど
禁止,効果/モンスター,フェニキシアン・クラスター・アマリリス,PHOENIXIAN CLUSTER AMARYLLIS,,ふぇにきしあんくらすた
禁止,効果/モンスター,巌征竜－レドックス,REDOX，DRAGON RULER OF BOULDERS,,がんせいりゅうれどっくす
禁止,効果/モンスター,イレカエル,SUBSTITOAD,,
禁止,リンク/モンスター,サモン・ソーサレス,SUMMON SORCERESS,,さもんそおされす
禁止,エクシーズ/モンスター,星守の騎士 プトレマイオス,TELLARKNIGHT PTOLEMAEUS,,てらないと
禁止,効果/モンスター,The tyrant NEPTUNE,THE TYRANT NEPTUNE,,ざたいらんとねぷちゅーん
禁止,効果/モンスター,瀑征竜－タイダル,TIDAL，DRAGON RULER OF WATERFALLS,,ばくせいりゅうたいだる
禁止,効果/モンスター,トゥーン・キャノン・ソルジャー,TOON CANNON SOLDIER,,とうーんきゃのん
禁止,効果/モンスター,ヴィクトリー・ドラゴン,VICTORY DRAGON,,
禁止,効果/モンスター,ゼンマイハンター,WIND-UP HUNTER,,せんまいはんたー
禁止,効果/モンスター,八汰烏,YATA－GARASU,,
禁止,エクシーズ/モンスター,十二獣ブルホーン,ZOODIAC BROADBULL,,じゆうにしし
禁止,エクシーズ/モンスター,十二獣ドランシア,ZOODIAC DRIDENT,,じゆうにしし
禁止,魔法,蝶の短剣－エルマ,BUTTERFLY DAGGER － ELMA,,ちょうのたんけんえるま
禁止,魔法,生還の宝札,CARD OF SAFE RETURN,,せいかんのほうさつ
禁止,魔法,心変わり,CHANGE OF HEART,,
禁止,魔法,大寒波,COLD WAVE,,だいかんぱ
禁止,魔法,押収,CONFISCATION,,
禁止,魔法,いたずら好きな双子悪魔,DELINQUENT DUO,,
禁止,魔法,次元融合,DIMENSION FUSION,,じげんゆうごう
禁止,魔法,神剣－フェニックスブレード,DIVINE SWORD - PHOENIX BLADE,新規・禁止,しんけんふえに
禁止,魔法,ドラゴニックD,DRAGONIC DIAGRAM,,どらごに
禁止,魔法,ハリケーン,GIANT TRUNADE,,
禁止,魔法,天使の施し,GRACEFUL CHARITY,,てんしのほどこし
禁止,魔法,大嵐,HEAVY STORM,,
禁止,魔法,遺言状,LAST WILL,,
禁止,魔法,マスドライバー,MASS DRIVER,,
禁止,魔法,突然変異,METAMORPHOSIS,,
禁止,魔法,悪夢の蜃気楼,MIRAGE OF NIGHTMARE,,
禁止,魔法,苦渋の選択,PAINFUL CHOICE,,
禁止,魔法,強欲な壺,POT OF GREED,,
禁止,魔法,早すぎた埋葬,PREMATURE BURIAL,,はやすぎたまいそう
禁止,魔法,サンダー・ボルト,RAIGEKI,,さんだーぼると
禁止,魔法,強奪,SNATCH STEAL,,
禁止,魔法,魔導書の神判,SPELLBOOK OF JUDGMENT,,
禁止,魔法,強引な番兵,THE FORCEFUL SENTRY,,
禁止,魔法,十二獣の会局,ZOODIAC BARRAGE,,しゆううにしし
禁止,罠,ラストバトル！,LAST TURN,,
禁止,罠,ライフチェンジャー,LIFE EQUALIZER,,
禁止,罠,マジカル・エクスプロージョン,MAGICAL EXPLOSION,,ましかるえくすふろーしよん
禁止,罠,異次元からの帰還,RETURN FROM THE DIFFERENT DIMENSION,,
禁止,罠,王宮の弾圧,ROYAL OPPRESSION,,
禁止,罠,第六感,SIXTH SENSE,,
禁止,罠,刻の封印,TIME SEAL,,
禁止,罠,ダスト・シュート,TRAP DUSTSHOOT,,
禁止,罠,血の代償,ULTIMATE OFFERING,,
,,,,,
制限,リンク/モンスター,水晶機巧－ハリファイバー,‐,新規・制限,くりすとろんはりふあ
制限,融合/モンスター,ABC－ドラゴン・バスター,ABC-DRAGON BUSTER,,えーひーしー
制限,効果/モンスター,オルターガイスト・マルチフェイカー,ALTERGEIST MULTIFAKER,準制限⇒制限,おるたーがいすと
制限,P効果,アストログラフ・マジシャン,ASTROGRAPH SORCERER,,あすとろぐらふ
制限,効果/モンスター,ベビケラサウルス,BABYCERASAURUS,,へひけらさうるす
制限,融合/モンスター,重爆撃禽 ボム・フェネクス,BLAZE FENIX，THE BURNING BOMBARDMENT BIRD,,しゆうはくけきんほむふぇねくす
制限,P効果,クロノグラフ・マジシャン,CHRONOGRAPH SORCERER,新規・制限,くろのぐらふまじ
制限,効果/モンスター,デビル・フランケン,CYBER-STEIN,,てひるふらんけん
制限,効果/モンスター,ダーク・アームド・ドラゴン,DARK ARMED DRAGON,,たーくあーむとらこん
制限,効果/モンスター,深海のディーヴァ,DEEP SEA DIVA,,しんかいのていーうあ
制限,シンクロ/モンスター,氷結界の虎王ドゥローレン,DEWLOREN，TIGER KING OF THE ICE BARRIER,,ひょうけっかいのこおうどぅろーれん
制限,効果/モンスター,真竜拳士ダイナマイトK,DINOMIGHT KNIGHT，THE TRUE DRACOFIGHTER,,しんりゅうけんしたいなまいとけー
